,Country_of_Origin,Farm_Name,Mill,Company,Region,Producer,Number_of_Bags,Bag_Weight,In-Country_Partner,Owner,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Overall,Total_Cup_Points,Moisture_Percentage,Category_One_Defects,Quakers,Color,Category_Two_Defects
383,Colombia,Other,neiva,carcafe ltda,huila,FRANKLIN DUSSAN/ANDRES RODRIGUEZ/HIPOLITO TORRES,275,70.0,Almacafé,CARCAFE LTDA CI,Caturra,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,83.42,0.12,4,0.0,green,0
384,Brazil,cachoeira da grama farm,Other,bourbon specialty coffees,vale da grama,GABRIEL CARVALHO DIAS,300,60.0,Brazil Specialty Coffee Association,BOURBON SPECIALTY COFFEES,Yellow Bourbon,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,7.75,83.42,0.12,0,0.0,green,6
385,"Tanzania, United Republic Of",ngila estate,ngila estate ltd,ngila estate ltd,karatu northern,Ngila Estate Ltd,39,60.0,Africa Fine Coffee Association,Ngila Estate Ltd,Bourbon,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,83.42,0.13,0,0.0,green,4
386,Colombia,Other,trilladora boananza,ecom cca sa,huila,Other,250,70.0,Almacafé,Compañia Colombiana Agroindustrial S.A,Caturra,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,7.58,83.42,0.12,0,0.0,green,1
387,Guatemala,el papaturro,beneficio ixchel,"unex guatemala, s.a.",oriente,AMILCAR LAPOLA,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,83.42,0.1,0,0.0,green,1
388,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",antigua,"SIEMBRAS VISIÓN, S.A.",250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,83.42,0.1,0,0.0,green,2
389,Guatemala,el morito,beneficio ixchel,"unex guatemala, s.a.",oriente,ROBERTO MONTERROSO,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,83.42,0.11,0,0.0,green,0
390,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,13,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.67,83.42,0.11,0,0.0,green,2
391,Colombia,various,trilladora boananza,exportadora de cafe condor s.a,cundinamarca,Exportadora de cafe condor,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.67,83.42,0.11,0,0.0,green,2
392,Colombia,Other,Other,Other,huila,Other,250,70.0,Almacafé,Federación Nacional de Cafeteros,Other,Other,7.58,7.58,7.58,7.67,7.75,7.67,10.0,10.0,10.0,7.58,83.42,0.1,1,0.0,other,3
393,United States (Hawaii),kona pacific farmers cooperative,Other,Other,kona,Kona Pacific Farmers Co-Op,12,60.0,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Other,Other,7.5,7.92,7.42,7.67,7.83,7.58,10.0,10.0,10.0,7.5,83.42,0.11,0,0.0,other,0
394,Thailand,doi tung development project,Other,Other,Other,Doi Tung Development Project,4,0.453592,Specialty Coffee Association,Doi Tung Development Project,Peaberry,Other,7.58,7.25,7.5,7.92,7.92,7.42,10.0,10.0,10.0,7.83,83.42,0.11,0,0.0,other,0
395,Mexico,Other,Other,Other,nayarit,"Productores de Cafe de El Cuarenteno, S. de P.R. de R.L",6,6.0,Specialty Coffee Association,Grounds for Health Admin,Other,Other,7.25,7.88,7.38,7.63,7.5,8.75,9.0,10.0,10.0,8.0,83.38,0.09,2,0.0,other,4
396,Colombia,various,bonanza - armenia,exportadora de cafe condor s.a,huila,various,275,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.75,7.5,7.75,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,0.11,0,1.0,other,0
397,Colombia,Other,bachue,racafe & cia s.c.a,guayata,Other,130,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10.0,10.0,10.0,7.67,83.33,0.11,0,0.0,blue-green,0
398,Colombia,Other,bachue,racafe & cia s.c.a,huila,La Plata,275,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.33,0.11,1,0.0,green,2
399,Brazil,rio verde,ipanema coffees,ipanema coffees,south of minas,Ipanema Agrícola SA,10,2.0,Specialty Coffee Association,Ipanema Coffees,Catuai,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,83.33,0.1,1,0.0,green,5
400,Mexico,ecc,ecc,exportadora café california,chiapas,ECC,275,1.0,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,ANDREAS KUSSMAUL,Caturra,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,7.58,83.33,0.12,0,0.0,green,2
401,Colombia,various,trilladora agricola,exportadora de cafe condor s.a,santander,varios,275,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,7.42,83.33,0.11,0,0.0,green,1
402,"Tanzania, United Republic Of",mondul coffee estate,mondul coffee estate,mondul coffee estate,arusha,Mondul Coffee Estate,10,60.0,Africa Fine Coffee Association,AFCA,Other,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,0.12,0,0.0,green,6
403,Mexico,el pino,"el pino, cosautlan de carvajal","café andrade, s.a. de c.v.",veracruz,JOSÉ LUIS ANDRADE SANDARA,200,1.0,AMECAFE,J.ANDRADE,Other,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.33,0.12,0,0.0,green,0
404,Costa Rica,several,cafe altura de san ramon,the coffee source inc.,san ramon,SEVERAL,250,1.360776,Specialty Coffee Association,The Coffee Source Inc.,Caturra,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,7.58,83.33,0.12,0,0.0,green,3
405,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,12,45.3592,Specialty Coffee Association,Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8.0,9.33,10.0,9.33,7.83,83.33,0.11,0,0.0,blue-green,1
406,Costa Rica,several,several - coricafe dry mill,coricafe s.a.,central valley,CORICAFE BLEND,250,1.0,Specialty Coffee Association of Costa Rica,Eric Thormaehlen,Catuai,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,8.0,83.33,0.11,0,0.0,green,3
407,Peru,Other,Other,sustainable harvest,Other,Other,280,2.26796,Specialty Coffee Association,Dane Loraas,Other,Washed / Wet,7.83,7.75,7.58,7.83,7.92,7.58,9.33,10.0,10.0,7.5,83.33,0.12,0,0.0,green,5
408,Other,marre blanche,Other,itiah coffee llc.,"thiotte, haiti",COOPCAB,2,1.814368,Specialty Coffee Association,ITIAH COFFEE LLC,Typica,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,7.83,83.33,0.11,0,0.0,green,4
409,Colombia,Other,neiva,carcafe ltda,pitalito,ORLANDO ORTIZ / HIPOLITO TORRES,250,70.0,Almacafé,CARCAFE LTDA CI,Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,7.5,83.33,0.11,0,0.0,green,1
410,Guatemala,el sacramento,beneficio ixchel,"unex guatemala, s.a.",oriente,LUIS RODRIGUEZ,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.33,0.11,0,0.0,green,3
411,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,7,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10.0,10.0,7.83,83.33,0.1,0,0.0,blue-green,4
412,Other,sogestal kayanza,kiriyama washing station,the specialty coffee appraisers institute of asia,kayanza,Other,220,60.0,Specialty Coffee Association,Steven Kil,Bourbon,Washed / Wet,7.75,7.67,7.33,7.5,7.5,7.75,10.0,10.0,10.0,7.83,83.33,0.11,0,0.0,other,5
413,Colombia,Other,trilladora boananza,exportadora de cafe condor s.a,huila,condor,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.33,0.11,0,0.0,green,1
414,United States (Hawaii),Other,Other,Other,kona,Other,27,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Other,Other,8.08,7.83,7.83,7.75,7.67,7.58,9.33,10.0,9.33,7.92,83.33,0.11,0,0.0,other,0
415,United States (Hawaii),Other,Other,Other,Other,Other,25,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Other,Other,7.58,7.67,7.58,7.5,7.83,7.67,10.0,10.0,10.0,7.5,83.33,0.11,0,0.0,other,0
416,Mexico,corta pico,la catedral del cafe,cafe de don balbino s.c. de r.l. de c.v.,sierra madre occidental,BALBINO RAMIREZ FLORES,50,50.0,Centro Agroecológico del Café A.C.,CAFE DE DON BALBINO S.C. DE R.L. DE C.V.,Typica,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,7.67,83.25,0.11,0,0.0,blue-green,0
417,Costa Rica,estate la patricia,micro beneficio la cabaña-javier meza,bold coast coffee,tarrazu,Manuel Montero,29,46.0,Specialty Coffee Association,Troy Quimby,Catuai,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,7.58,83.25,0.11,0,0.0,green,0
418,Costa Rica,coopellanobonito,coocafe r.l,panamerican coffee trading,tarrazu,Coopellanobonito,275,69.0,Specialty Coffee Association of Costa Rica,Rodrigo Soto,Other,Washed / Wet,7.83,7.5,7.42,7.67,7.5,7.67,10.0,10.0,10.0,7.67,83.25,0.11,0,0.0,other,0
419,Guatemala,linda vista,linda vista,mercon guatemala s.a.,nuevo oriente,PABLO CHUY,275,0.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Pacas,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,7.67,83.25,0.11,0,2.0,green,7
420,Uganda,kawacom uganda ltd sipi farmers group,kawacom,kawacom uganda ltd,"sipi, mt elgon",Kawacom Uganda LTD,150,9000.0,Uganda Coffee Development Authority,Kawacom Uganda LTD,SL14,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10.0,10.0,10.0,7.67,83.25,0.12,0,0.0,green,1
421,Brazil,Other,dinamo armazens gerais ltda,bourbon specialty coffees,campos altos - cerrado,Other,300,60.0,Brazil Specialty Coffee Association,BOURBON SPECIALTY COFFEES,Other,Other,7.58,7.67,7.42,7.5,7.67,7.42,10.0,10.0,10.0,8.0,83.25,0.12,0,0.0,green,4
422,Colombia,Other,neiva,carcafe ltda,huila,FRANKLIN DUSSAN,304,35.0,Almacafé,CARCAFE LTDA CI,Caturra,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10.0,10.0,10.0,7.58,83.25,0.11,0,0.0,green,2
423,Mexico,los charcos,la yerba,productos y servicios chilindron s.a. de c.v.,cuarenteño,Rafael Arroyo Zoto,11,2.0,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,PRODUCTOS Y SERVICIOS CHILINDRON S.A. DE C.V.,Typica,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.42,83.25,0.12,0,0.0,blue-green,2
424,Taiwan,sunshine valley estate 向陽高山咖啡,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,natou county,LIN YEN CHIEN 林言謙,10,15.0,Specialty Coffee Association,"Lin, Che-Hao Krude 林哲豪",Bourbon,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10.0,10.0,10.0,7.58,83.25,0.1,0,0.0,blue-green,0
425,Taiwan,以勒咖啡,以勒咖啡,宸嶧國際,南投國姓,蘇詠晴,10,60.0,Blossom Valley International,CQI Taiwan ICP CQI台灣合作夥伴,Typica,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10.0,10.0,10.0,7.33,83.25,0.1,0,0.0,green,0
426,Colombia,Other,trilladora boananza,ecom cca sa,eje cafetero,Other,250,70.0,Almacafé,Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10.0,10.0,10.0,7.67,83.25,0.11,0,0.0,green,0
427,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",antigua,"SIEMBRAS VISIÓN, S.A.",26,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,7.67,83.25,0.1,0,0.0,green,1
428,Colombia,Other,trilladora boananza,exportadora de cafe condor s.a,huila,Other,275,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,10.0,7.58,83.25,0.11,0,0.0,green,1
429,Mexico,various,productores de cafes especiales sc,"finca triunfo verde, s.c.",chiapas,VRIOS PRODUCTORES,200,1.0,AMECAFE,CALIXTO GUILLEN VAZQUEZ,Bourbon,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,83.25,0.12,0,0.0,green,6
430,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,11,45.3592,Specialty Coffee Association,Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.58,7.75,7.83,8.0,8.08,7.67,9.33,10.0,9.33,7.67,83.25,0.11,0,0.0,blue-green,4
431,Mexico,finca teocelo,monte blanco,finca teocelo,veracruz,ERNESTO RODRIGUEZ LUNA,10,1.0,AMECAFE,ERNESTO RODRIGUEZ LUNA,Mundo Novo,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.25,0.13,0,0.0,green,7
432,Mexico,mata larga,finca mata larga,Other,fortín de las flores,MODESTO LANDEROS FLORES,54,1.0,AMECAFE,MODESTO LANDEROS FLORES,Caturra,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10.0,10.0,10.0,7.58,83.25,0.12,0,0.0,blue-green,0
433,Guatemala,agropecuaria quiagral,beneficio ixchel,"unex guatemala, s.a.",oriente,AGROPECUARIA QUIAGRAL,250,1.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,10.0,7.42,83.25,0.11,0,0.0,green,9
434,Brazil,água limpa,Other,nucoffee,grama valley,Eliane de Andrade Cyrino Noqueira,30,60.0,NUCOFFEE,NUCOFFEE,Yellow Bourbon,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.25,0.11,0,0.0,blue-green,1
435,Colombia,Other,trilladora boananza,exportadora de cafe condor s.a,huila,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10.0,10.0,10.0,7.58,83.25,0.12,0,0.0,green,1
436,Colombia,Other,Other,c.i.racafe & cia s.c.a,la plata,La Plata,175,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10.0,10.0,10.0,7.67,83.25,0.11,0,0.0,green,0
437,Colombia,Other,trilladora bonanza - armenia quindioa,Other,huila,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Other,Other,7.92,7.75,7.25,7.42,7.83,7.58,10.0,10.0,10.0,7.5,83.25,0.08,0,0.0,other,0
438,Colombia,Other,trilladora bonanza - armenia quindioa,Other,cauca,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Other,Other,8.0,7.67,7.67,7.25,7.67,7.5,10.0,10.0,10.0,7.5,83.25,0.13,0,0.0,other,1
439,Colombia,Other,trilladora bonanza - armenia quindio,Other,cundinamarca,Exportadora de Café Cóndor S.A,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Other,Other,7.92,7.75,7.5,7.42,7.42,7.67,10.0,10.0,10.0,7.58,83.25,0.11,0,0.0,other,1
440,Brazil,fazenda capoeirnha,dry mill,ipanema coffees,south of minas,Ipanema Agricola S.A,320,60.0,Brazil Specialty Coffee Association,Ipanema Coffees,Bourbon,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.75,83.17,0.11,0,0.0,green,4
441,Guatemala,beneficio el torreon,beneficio ixchel,"unex guatemala, s.a.",oriente,AGROINDUSTRIAS CAFETALERAS,275,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.17,0.1,0,0.0,green,1
442,"Tanzania, United Republic Of",mamsera,rafiki (coffee) limited,volcafe/taylorwinch tanzania ltd,moshi,Mamsera,320,60.0,Tanzanian Coffee Board,Taylor Winch (T) Ltd,Bourbon,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.17,0.12,0,0.0,green,3
443,Peru,Other,procesadora del sur sa,prodlesur sa,Other,Other,200,13800.0,Central De Organizaciones Productoras De Café y Cacao Del Perú - Central Café & Cacao,ANDREA BERNAL,Other,Other,7.92,7.5,7.5,7.58,7.67,7.5,10.0,10.0,10.0,7.5,83.17,0.11,0,1.0,green,0
444,Vietnam,apollo estate,yes,"sunvirtue co., ltd.",dala,"Yeh, Li Chuan",1,2.0,Specialty Coffee Association,"Sunvirtue Co., Ltd.",Catimor,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10.0,10.0,10.0,7.58,83.17,0.11,0,0.0,other,0
445,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",antigua,FINCA MEDINA,250,1500.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Caturra,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,7.5,83.17,0.11,2,2.0,green,3
446,Honduras,bethel,dry mill,cadexsa,marcala,JOSE OMAR ACOSTA,275,69.0,Instituto Hondureño del Café,CADEXSA,Catuai,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,0.11,0,1.0,blue-green,1
447,China,chen lin,mojiang jinggong estate speciality development co.ltd mill,yunnan coffee exchange,yunnan,Mojiang Jinggong Estate Speciality Development Co.Ltd,3,60.0,Yunnan Coffee Exchange,Yunnan Coffee Exchange,Catimor,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.17,0.11,0,0.0,green,0
448,China,yunnan success trade co.ltd,yunnan success trade co.ltd mill,yunnan coffee exchange,dehong prefecture,Yunnan Success Trade Co.Ltd,3,60.0,Yunnan Coffee Exchange,Yunnan Coffee Exchange,Catimor,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10.0,10.0,10.0,7.67,83.17,0.1,0,0.0,green,3
449,El Salvador,agua caliente,agua caliente,consejo salvadoreño del café,apaneca,Ecom Agroindustrial Corp. Ltd.,275,69.0,Salvadoran Coffee Council,Consejo Salvadoreño del Café,Bourbon,Washed / Wet,7.5,7.5,7.33,7.67,8.0,7.67,10.0,10.0,10.0,7.5,83.17,0.11,0,0.0,green,0
450,Guatemala,finca medina,beneficio siembras vision (154),"siembras vision, s.a.",antigua,FINCA MEDINA,150,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.5,83.17,0.11,0,0.0,green,1
451,Guatemala,"la esperanza, margarita nuyes",beneficio ixchel,"unex guatemala, s.a.",oriente,PAPATURRO,100,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.42,83.17,0.12,0,0.0,green,3
452,Kenya,Other,Other,taylor winch (coffee) ltd,kenya,Other,300,2.0,Kenya Coffee Traders Association,Taylor Winch (Coffee) Ltd.,SL28,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17,0.1,0,0.0,blue-green,1
453,Thailand,Other,Other,doi tung development project,thailand,Doi Tung Development Project,1,1.0,Specialty Coffee Association,Doi Tung Development Project,Other,Washed / Wet,7.67,7.58,7.58,7.75,7.42,7.67,10.0,10.0,10.0,7.5,83.17,0.12,0,0.0,blue-green,0
454,"Tanzania, United Republic Of",myanganyanga,tutunze kahawa ltd,tutunze kahawa ltd,mbinga,Tutunze Kahawa Ltd,180,60.0,Africa Fine Coffee Association,Tutunze Kahawa Ltd,Other,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,10.0,10.0,10.0,7.67,83.17,0.13,0,0.0,blue-green,6
455,Colombia,Other,Other,racafe & cia s.c.a,huila,La Plata,232,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.58,7.5,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.17,0.11,0,0.0,other,4
456,Uganda,kaptanya,gumutindo,kabum trading company,eastern,Kabum Trading Company,84,60.0,Uganda Coffee Development Authority,Kabum Trading company,SL14,Washed / Wet,8.0,7.67,7.5,7.42,7.33,7.58,10.0,10.0,10.0,7.67,83.17,0.1,0,0.0,blue-green,0
457,Colombia,unkown,unkown,green mountain coffee,Other,unkown,1,1.814368,Specialty Coffee Association,Cafe Politico,Other,Washed / Wet,7.58,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.17,0.11,10,0.0,green,3
458,Honduras,el cerron,rio hamaca,"olam honduras, s.a.",san marcos,Nelson Melgar Melgar,275,1.0,Instituto Hondureño del Café,Mayra Yessenia Torres,Catuai,Natural / Dry,7.5,7.5,7.5,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.17,0.1,0,0.0,green,5
459,Honduras,los hicaques,cigrah sps,cigrah,comayagua,Reynerio Zepeda,275,1.0,Instituto Hondureño del Café,Other,Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,0.11,0,0.0,green,3
460,Guatemala,nueva granada,beneficio nueva granada,"agricola nueva granada, s.a.",san marcos,"AGRICOLA NUEVA GRANADA, S.A.",200,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Catuai,Washed / Wet,7.33,7.83,7.17,8.17,7.33,7.67,10.0,10.0,10.0,7.67,83.17,0.09,0,0.0,green,1
461,United States (Hawaii),Other,Other,kona pacific farmers cooperative,kona,Other,6,45.3592,Specialty Coffee Association,Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.5,7.5,7.58,7.42,7.92,7.67,10.0,10.0,10.0,7.58,83.17,0.11,0,0.0,blue-green,0
462,"Tanzania, United Republic Of",Other,rafiki (coffee) limited,taylor winch (t) ltd,kilimanjaro,Other,300,1.0,Tanzanian Coffee Board,Balam Hinyula,Bourbon,Washed / Wet,7.58,7.5,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.58,83.17,0.12,0,0.0,green,1
463,Guatemala,finca el morito,beneficio ixchel,"unex guatemala, s.a.",oriente,ROBERTO MONTERROSO,250,69.0,Asociacion Nacional Del Café,Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.83,7.33,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,0.11,0,0.0,green,2
464,Mexico,santa cecilia,"angel albino corzo, chiapas",cesmach s.c.,chiapas,MARGARITO ROBLERO VAZQUEZ,45,1.0,AMECAFE,NESTOR MENDEZ GOMEZ,Typica,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,7.75,83.17,0.11,0,0.0,green,2
465,Mexico,tlapacoya,"el chipoco, municipio de tlanchinol",Other,"tlanchinol, hidalgo",AMADOR HERNANDEZ DIONICIO,10,1.0,AMECAFE,SAUL M. HERNANDEZ RAMIREZ,Typica,Washed / Wet,7.75,7.67,7.58,7.5,7.42,7.58,10.0,10.0,10.0,7.67,83.17,0.12,3,0.0,other,8
466,Mexico,la loma,el pedregal,Other,san bartolo tutotepec,"TREJO VELASCO, ROMAN",10,1.0,AMECAFE,SAUL M. HERNANDEZ RAMIREZ,Pacamara,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.17,0.14,0,0.0,other,10
467,Colombia,Other,Other,c.i.racafe & cia s.c.a,huila,LA PLATA,275,70.0,Almacafé,Racafe & Cia S.C.A,Caturra,Washed / Wet,7.67,7.5,7.5,7.5,7.58,8.17,10.0,10.0,10.0,7.25,83.17,0.11,1,0.0,green,2
468,Mexico,el mirador,el mirador,Other,san isidro,FERNANDO MENDOZA APARICIO,15,1.0,AMECAFE,FERNANDO MENDOZA APARICIO,Typica,Washed / Wet,7.75,7.5,7.42,7.75,7.58,7.58,10.0,10.0,10.0,7.58,83.17,0.13,0,0.0,green,5
469,Colombia,Other,trilladora bonanza - armenia quindioa,exportadora de cafe condor s.a,huila,Other,250,70.0,Almacafé,Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.5,83.17,0.11,0,0.0,blue-green,0
470,Mexico,finca nueva linda,agroindustrias unidas de mexico,ecomtrading,la concordia,OCTAVIO MOGUEL FARRERA,250,1.0,AMECAFE,ALFREDO BOJALIL,Typica,Washed / Wet,7.5,7.75,7.58,7.58,7.67,7.5,10.0,10.0,10.0,7.58,83.17,0.11,0,0.0,other,5
471,Brazil,campo das flores,Other,nucoffee,south of minas,Giovane Senna Bonacorssi,50,60.0,NUCOFFEE,NUCOFFEE,Mundo Novo,Natural / Dry,7.75,7.67,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,83.17,0.12,0,0.0,green,1
472,Brazil,são francisco da serra,Other,nucoffee,mogiana,Maria Aparecida Ferreira Azevedo,100,60.0,NUCOFFEE,NUCOFFEE,Mundo Novo,Natural / Dry,7.92,7.58,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,83.17,0.11,0,0.0,green,4
473,Guatemala,conquista / morito,beneficio ixchel,coffee resources inc.,oriente,Conquista / Morito,250,2.0,Specialty Coffee Association,Felipe Isaza,Bourbon,Washed / Wet,7.75,7.5,7.67,7.5,7.92,8.0,10.0,10.0,9.33,7.5,83.17,0.11,0,0.0,green,10
